rank,model,reasoning_effort,benchmark_score,success_rate,completed_cells,bolt_unscrew,rush_hour_2,nut_and_bolt,truck_escape,maze_paint,color_connect
1,gpt-5.6-sol,medium,54.796,55.42,16,49.37,81.05,51.84,66.78,36.8,49.23
2,gpt-5.6-sol,low,54.142,55.62,16,49.17,64.43,40.0,94.84,60.89,48.56
3,gpt-5.6-sol,high,49.968,50.47,16,45.98,87.69,38.77,94.91,38.59,19.95
4,gpt-5.6-terra,high,47.591,48.75,16,49.26,45.76,20.46,94.69,73.68,53.81
5,gpt-5.6-terra,medium,37.772,38.18,16,44.48,37.49,26.7,95.03,43.63,21.75
6,gpt-5.6-terra,low,36.806,37.29,16,49.39,25.71,33.94,94.86,36.43,19.55
7,kimi-k3,high,32.694,32.5,16,49.58,20.44,20.88,95.19,53.74,0.92
8,gpt-5.6-luna,high,30.337,31.25,16,49.38,22.52,19.68,0.0,62.52,16.55
9,gpt-5.6-luna,medium,24.158,23.75,16,49.1,12.63,21.55,0.0,39.95,11.4
10,gpt-5.6-luna,low,17.867,16.04,16,49.05,0.35,16.93,22.16,25.13,2.27
11,qwen/qwen3.8-27b,,16.915,16.25,16,1.21,6.79,20.52,22.55,39.46,2.17
12,moonshotai/kimi-k2.5,max,15.979,15.47,16,20.38,0.0,2.47,92.95,35.23,1.95
13,qwen/qwen3.5-122b-a10b,,11.285,10.1,16,38.35,0.15,13.19,4.02,10.45,1.05
14,qwen/qwen3.6-35b-a3b,,6.58,5.68,16,19.51,0.0,7.46,0.26,9.4,0.23
15,qwen/qwen3.5-397b-a17b,,6.471,4.84,16,19.13,0.83,3.32,18.96,8.11,1.45
16,z-ai/glm-4.6v,max,6.386,5.47,16,18.85,3.01,1.1,6.48,14.44,0.07
17,qwen/qwen3-vl-235b-a22b-thinking,,5.314,3.59,16,19.01,0.89,2.96,2.26,9.05,0.06
18,qwen/qwen3-vl-30b-a3b-thinking,,5.134,4.43,16,20.34,0.0,7.24,0.0,1.6,0.23
